Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
James Harden,28-157,G,2018-01-30 *,HOU,,ORL,W,1,46,19,30,.633,14,16,.875,5,14,.357,17,18,.944,2,8,10,11,4,1,5,2,60,56.6
LeBron James,32-308,F-G,2017-11-03 *,CLE,@,WAS,W,1,43,23,34,.676,21,30,.700,2,4,.500,9,9,1.000,5,6,11,7,3,2,3,2,57,53.2
James Harden,28-071,G,2017-11-05 *,HOU,,UTA,W,1,35,19,25,.760,12,17,.706,7,8,.875,11,12,.917,0,2,2,13,2,0,7,3,56,49.2
Karl-Anthony Towns,22-133,C-F,2018-03-28 *,MIN,,ATL,W,1,41,19,32,.594,13,24,.542,6,8,.750,12,15,.800,4,11,15,4,0,1,2,4,56,46.0
Anthony Davis,24-352,F-C,2018-02-26 *,NOP,,PHO,W,1,39,16,29,.552,16,28,.571,0,1,.000,21,26,.808,8,10,18,3,1,5,1,3,53,50.1
DeMar DeRozan,28-147,G-F,2018-01-01 *,TOR,,MIL,W,1,43,17,29,.586,12,20,.600,5,9,.556,13,13,1.000,1,4,5,8,1,1,2,4,52,44.1
Bradley Beal,24-160,G,2017-12-05 *,WAS,@,POR,W,1,43,21,37,.568,16,25,.640,5,12,.417,4,5,.800,1,2,3,2,0,0,2,2,51,33.0
James Harden,28-118,G,2017-12-22 *,HOU,,LAC,L,1,41,15,28,.536,9,14,.643,6,14,.429,15,16,.938,0,4,4,8,3,0,8,6,51,36.4
James Harden,28-116,G,2017-12-20 *,HOU,,LAL,L,1,43,15,27,.556,11,21,.524,4,6,.667,17,21,.810,0,3,3,9,1,1,6,5,51,37.4
Kevin Durant,29-138,F-G,2018-02-14 *,GSW,@,POR,L,1,37,17,27,.630,11,13,.846,6,14,.429,10,10,1.000,0,7,7,6,0,2,4,1,50,41.2
Damian Lillard,27-209,G,2018-02-09 *,POR,@,SAC,W,1,29,16,26,.615,8,13,.615,8,13,.615,10,10,1.000,0,1,1,6,3,0,2,2,50,42.9
C.J. McCollum,26-134,G,2018-01-31 *,POR,,CHI,W,1,29,18,25,.720,12,16,.750,6,9,.667,8,8,1.000,1,4,5,2,1,0,3,1,50,40.6
Lou Williams,31-075,G,2018-01-10 *,LAC,@,GSW,W,1,35,16,27,.593,8,11,.727,8,16,.500,10,10,1.000,0,2,2,7,0,0,4,0,50,39.0
